accion_b,action,anonymous,component,origin,target,timecreated,courseid,userid,contextid,eventname,ip
2082,added,false,core,restore,group_member,3423480962868,2,2,267,\core\event\group_member_added,0:0:0:0:0:0:0:1
347,added,false,core,restore,group_member,570524560889,3,2,283,\core\event\group_member_added,0:0:0:0:0:0:0:1
694,added,false,core,restore,group_member,1141158055410,4,2,362,\core\event\group_member_added,0:0:0:0:0:0:0:1
1,added,false,core,restore,tag,1644474199,2,2,684,\core\event\tag_added,0:0:0:0:0:0:0:1
1,added,false,core,restore,tag,1644501613,2,2,750,\core\event\tag_added,0:0:0:0:0:0:0:1
168,assigned,false,core,restore,grouping_group,276246302097,2,2,267,\core\event\grouping_group_assigned,0:0:0:0:0:0:0:1
28,assigned,false,core,restore,grouping_group,46036563916,3,2,283,\core\event\grouping_group_assigned,0:0:0:0:0:0:0:1
62,assigned,false,core,restore,grouping_group,101946914186,4,2,362,\core\event\grouping_group_assigned,0:0:0:0:0:0:0:1
6,assigned,false,core,restore,grouping_group,9868112412,5,2,754,\core\event\grouping_group_assigned,0:0:0:0:0:0:0:1
1458,assigned,false,core,restore,role,2397423271535,2,2,267,\core\event\role_assigned,0:0:0:0:0:0:0:1
243,assigned,false,core,restore,role,399531609711,3,2,283,\core\event\role_assigned,0:0:0:0:0:0:0:1
486,assigned,false,core,restore,role,799139503947,4,2,362,\core\event\role_assigned,0:0:0:0:0:0:0:1
59,assigned,false,core,web,capability,97014412222,0,2,1,\core\event\capability_assigned,0:0:0:0:0:0:0:1
1,assigned,false,core,web,role,1644685432,5,2,754,\core\event\role_assigned,0:0:0:0:0:0:0:1
1,created,false,assignsubmission_comments,null,comment,1625007637,2,9,657,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625007637,2,9,723,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625258018,2,14,655,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625804735,2,14,658,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1626924203,2,14,662,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628223192,2,14,666,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628740907,2,14,677,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625258018,2,14,721,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625804735,2,14,724,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1626924203,2,14,728,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628223192,2,14,732,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1628740907,2,14,743,\assignsubmission_comments\event\comment_created,192.168.2.60
1,created,false,assignsubmission_comments,null,comment,1625287186,2,20,655,\assignsubmission_comments\event\comment_created,192.168.2.60
3,created,false,assignsubmission_comments,null,comment,4882610673,2,20,656,\assignsubmission_comments\event\comment_created,192.168.2.60
